abbreviation,latin,english,possible_confusion
"aa, āā, ĀĀ",ana,of each,
AAA,,apply to affected area,abdominal aortic aneurysm
a.c.,ante cibum,before meals,
"a.c.h.s., ac&hs",ante cibum et hora somni,before meals and at bedtime,
a.d.,auris dextra,right ear,"a single-storey a can be mistaken as an o which could read ""o.d."", meaning right eye"
"ad., add.",adde,add,
,addatur,let there be added,
ad lib.,ad libitum,"Latin, ""at one's pleasure""; as much as one desires; freely","compare pro re nata, ""as needed"", which by convention includes an aspect of ""up to some maximum"". Similarly, compare s.o.s., q.l., and q.s."
admov.,admove,apply [or] add,
,admoveatur,add; let there be added,
ad us.,ad usum,according to custom,
æq.,æquales,equal,
agit.,agita,agitate (stir or shake),
"alt. d., alt. dieb.",alternis diebus,every other day; on alternate days,
"alt. h., alt. hor.",alternis horis,every other hour; at alternate hours,
a.m.,ante meridiem,"morning, before noon",
amp.,ampulla,"ampule (ampul, ampoule)",
amt,,amount,
aq.,aqua,water,
aq. bull.,aqua bulliens,boiling water,
aq. com.,aqua communis,common water,
aq. dest.,aqua destillata,distilled water,
aq. ferv.,aqua fervens,hot water,
"a.l., a.s.","auris laeva, auris sinistra",left ear,"a can be mistaken as an o which could read ""o.s."" or ""o.l"", meaning left eye"
ATC,,around the clock,
a.u.,auris utraque,both ears,"a can be mistaken as an o which could read ""o.u."", meaning both eyes"
"BDS, b.d.s.",bis die sumendum,twice daily,
bib.,bibe,drink,
bis,bis,twice,
"b.i.d., b.d.",bis in die,twice daily,"AMA style avoids use of this abbreviation (spell out ""twice a day"")"
bis ind.,bis indies,twice a day,
bis in 7 d.,bis in septem diebus,twice a week,
BM,,bowel movement,commonly used in the United Kingdom when discussing blood sugar. From BM Stix – the measurement sticks used for calculating blood sugar; BM being an abbreviation of Boehringer Mannheim.[8]
BNF,,British National Formulary,
bol.,bolus,as a large single dose (usually intravenously),
"BP, Ph.Br.",Pharmacopoeia Britannica,British Pharmacopoeia,
BS,,blood sugar,
BSA,,body surface area,
b.t.,,bedtime,"mistaken for ""b.i.d"", meaning twice daily"
bucc.,bucca,buccal (inside cheek),
"cap., caps.",capsula,capsule,
cap.,capiat,let him take (let the patient take),
c.m.,cras mane,tomorrow morning,
c.m.s.,cras mane sumendus,to be taken tomorrow morning,
"c̄, c.",cum,with (usually written with a bar on top of the c),
cib.,cibus,food,
c.c.,cum cibo,with food [or],"mistaken for U, meaning units; also has an ambiguous meaning; use ""mL"" or ""millilitres"" (1 cm3 = 1 mL)"
,,cubic centimetre,
cf.,confer,compare,
c.n.,cras nocte,tomorrow night,
cochl.,cochleare,spoonful,
cochl. ampl.,cochleare amplum,an ample spoonful (a tablespoonful),
