ID,Peptide Name,Mechanism,Tags,Synergistic,Discordant,Half Life,Side Effects,Route,Dosage,Timing,Fasting,Frequency,Protocol,Source
100,5-amino-1MQ,,"Body Recomposition, Cholesterol Control, Immune system, Muscles, Weight Loss",NAD+,None known,5-6 Hours,"Insomnia, Lethargy",Oral,150mg,,No,QD,"QD CC PO, 3 weeks on, 2 weeks off","<a href=""TMCCatalog.pdf"" target=""_blank"">TailorMade Compounding</a>"
200,AOD-9604,,"Cartilage Growth and Repair, Healing, Weight Loss","GLP-1, GIP, GCG, Amylin",,20-30 Minutes,"Diarrhea, Flatulence, Increased Appetite, Headache, Nausea",Sublingual,500mcg,AM,No,QD,"QD SL AM, 20 days on, 10 days off, up to 6 months",
200,AOD-9604,,"Cartilage Growth and Repair, Healing, Weight Loss","GLP-1, GIP, GCG, Amylin",,20-30 Minutes,"Diarrhea, Flatulence, Increased Appetite, Headache, Nausea",Subcutaneous Injection,300mcg,AM,Yes,QD,"QD SQ AM fasted, 20 days on, 10 days off, up to 6 months","<a href=""TMCCatalog.pdf"" target=""_blank"">TailorMade Compounding</a>"
200,AOD-9604,,"Cartilage Growth and Repair, Healing, Weight Loss","GLP-1, GIP, GCG, Amylin",,20-30 Minutes,"Diarrhea, Flatulence, Increased Appetite, Headache, Nausea",Subcutaneous Injection,250mcg,,No,BD,"BD SQ AM, early AM and before bed, 20 days on, 10 days off, up to 6 months",Dr. Seeds
300,ARA 290,,"Cognition, Healing, Immune system",,,Unknown,"Hypertension, Headache, Liver enzyme elevation, Nausea, PIP",Subcutaneous Injection,1-5mg,,No,TIW,"TIW SQ, 4-5 Weeks","<a href=""https://muscleandbrawn.com/peptides/ara-290-peptide-guide/"" target=""_blank"">Muscle and Brawn</a>"
400,Argireline,,Skin,SNAP8,,Unknown,"Dry, Flaky skin, stinging",,,,,,,
500,BPC-157,,"Bone and connective tissue health, healing","GHK-Cu, TB-500, TB4",,4 Hours,"Cardiovascular Changes, Mood Effects, And Physical Discomfort",Intramuscular Injection,150mcg,,No,BD,"BD IM at location of injury, 8 weeks on, 2 weeks off","<a href=""https://world-of-peptides.com/bpc-157-peptide-protocol/"" target=""_blank"">World of Peptides</a>"
500,BPC-157,,"Bone and connective tissue health, healing","GHK-Cu, TB-500, TB4",,4 Hours,"Cardiovascular Changes, Mood Effects, And Physical Discomfort",Oral,500mcg,,No,QD,QD PO for 30 days,"<a href=""TMCCatalog.pdf"" target=""_blank"">TailorMade Compounding</a>"
500,BPC-157,,"Bone and connective tissue health, healing","GHK-Cu, TB-500, TB4",,4 Hours,"Cardiovascular Changes, Mood Effects, And Physical Discomfort",Subcutaneous Injection,300mcg,,No,QD,"QD SQ, titrate up from 100mcg, 30","<a href=""TMCCatalog.pdf"" target=""_blank"">TailorMade Compounding</a>"
600,CJC-1295 DAC,,"Bone Density, Muscle Mass and Strength, Overall Energy, Injury Repair, Sleep, Cognition","Ibutamoren (MK-677), Ipamorelin","Semorelon, Tesamorelin",6-8 Days,"Fluid Retention, Sensory Changes, And Energy Fluctuations",Subcutaneous Injection,200mcg,,2-3 hours after eating,BW,"BW SQ, 30 days",Dr. Seeds
